order_id|customer_id|order_timestamp|order_status|sales_channel|currency_code|order_total
1|117|2025-08-20 19:09:00|Shipped|Direct|USD|1032.65
2|148|2026-05-19 13:29:00|Shipped|Partner|USD|6102.00
3|120|2025-05-17 09:54:00|Shipped|Digital|USD|10572.48
4|98|2025-10-20 08:00:00|Completed|Digital|USD|10423.50
5|21|2026-08-10 17:59:00|Completed|Direct|USD|7509.00
6|77|2025-06-06 17:29:00|Completed|Partner|USD|17305.25
7|190|2025-04-19 09:57:00|Completed|Direct|USD|14069.75
8|31|2025-06-04 22:13:00|Completed|Digital|USD|12686.90
9|194|2025-10-14 08:40:00|Shipped|Partner|USD|2766.00
10|13|2025-02-17 02:36:00|Completed|Direct|USD|1119.00
11|147|2025-11-20 04:09:00|Completed|Partner|USD|3993.00
12|172|2025-01-28 01:00:00|Completed|Direct|USD|5931.00
13|37|2025-09-07 08:43:00|Completed|Direct|USD|5145.68
14|131|2026-01-29 21:34:00|Pending|Direct|USD|3319.80
15|81|2025-12-17 06:34:00|Pending|Partner|USD|21084.04
16|189|2025-11-10 21:45:00|Completed|Direct|USD|26045.46
17|81|2026-05-19 06:22:00|Shipped|Direct|USD|4818.60
18|70|2025-04-19 23:13:00|Completed|Digital|USD|13830.50
19|98|2025-06-21 20:55:00|Completed|Digital|USD|17758.90
20|70|2025-10-28 13:45:00|Completed|Partner|USD|12969.45
21|7|2025-07-23 02:14:00|Shipped|Partner|USD|8142.50
22|80|2025-01-25 13:37:00|Shipped|Digital|USD|9591.83
23|122|2026-01-13 09:45:00|Completed|Direct|USD|10743.25
24|68|2025-03-06 12:54:00|Pending|Digital|USD|1614.00
25|67|2025-05-06 09:55:00|Completed|Direct|USD|6750.00
26|15|2025-10-23 21:33:00|Completed|Direct|USD|3069.06
27|193|2025-10-01 04:12:00|Shipped|Digital|USD|9342.20
28|77|2025-03-23 14:06:00|Pending|Direct|USD|7356.63
29|199|2025-09-04 21:48:00|Completed|Direct|USD|13896.29
30|48|2025-08-17 07:43:00|Shipped|Direct|USD|5080.13
31|134|2025-04-18 15:02:00|Completed|Direct|USD|1200.41
32|163|2025-07-31 18:00:00|Completed|Direct|USD|1008.75
33|45|2025-09-04 16:05:00|Completed|Partner|USD|9169.62
34|134|2025-04-09 10:17:00|Completed|Partner|USD|3650.10
35|60|2025-09-05 01:43:00|Completed|Direct|USD|9293.58
36|27|2026-02-28 23:38:00|Completed|Partner|USD|8990.55
37|189|2025-04-23 15:06:00|Pending|Direct|USD|735.00
38|25|2025-08-13 17:18:00|Completed|Partner|USD|982.50
39|187|2026-07-01 11:42:00|Completed|Digital|USD|5786.93
40|151|2026-06-09 16:45:00|Shipped|Direct|USD|13716.99
41|136|2025-12-24 20:55:00|Completed|Direct|USD|7346.50
42|150|2025-01-04 00:41:00|Completed|Digital|USD|29279.20
43|115|2025-10-10 20:59:00|Completed|Digital|USD|3180.00
44|85|2025-07-15 23:51:00|Completed|Direct|USD|10892.64
45|47|2025-06-21 04:12:00|Completed|Partner|USD|3434.25
46|47|2025-01-26 19:22:00|Completed|Direct|USD|13305.35
47|94|2026-02-09 06:08:00|Pending|Partner|USD|7649.25
48|19|2026-01-03 16:08:00|Completed|Digital|USD|11292.36
49|86|2025-05-29 15:49:00|Pending|Direct|USD|14112.08
50|16|2025-06-30 22:36:00|Completed|Partner|USD|18033.75
51|75|2026-03-28 17:58:00|Shipped|Digital|USD|5302.98
52|95|2025-06-24 09:25:00|Completed|Partner|USD|5778.10
53|147|2025-04-26 19:58:00|Pending|Partner|USD|3467.11
54|159|2026-04-16 16:35:00|Completed|Partner|USD|2992.00
55|136|2025-09-30 20:00:00|Completed|Digital|USD|6060.93
56|86|2025-02-03 22:33:00|Completed|Digital|USD|2159.85
57|101|2025-08-09 02:35:00|Completed|Digital|USD|4330.95
58|155|2026-01-21 00:49:00|Pending|Digital|USD|7605.75
59|180|2026-05-17 09:33:00|Pending|Digital|USD|1935.15
60|80|2026-02-11 00:42:00|Completed|Partner|USD|6309.75
61|43|2026-05-30 23:59:00|Completed|Partner|USD|14612.61
62|63|2025-04-11 16:29:00|Completed|Digital|USD|2150.25
63|192|2025-09-13 08:32:00|Completed|Direct|USD|5903.50
64|135|2026-03-04 04:38:00|Completed|Direct|USD|369.79
65|12|2026-02-16 19:36:00|Completed|Partner|USD|3285.00
66|95|2025-06-27 06:55:00|Completed|Direct|USD|4706.05
67|70|2026-01-05 00:22:00|Completed|Partner|USD|17110.26
68|165|2025-01-27 01:16:00|Completed|Digital|USD|1652.50
69|159|2026-05-03 08:45:00|Completed|Partner|USD|15040.28
70|10|2026-01-30 10:43:00|Completed|Digital|USD|13108.21
71|74|2026-05-27 10:53:00|Completed|Digital|USD|5227.35
72|90|2025-05-31 07:32:00|Completed|Partner|USD|12640.05
73|65|2026-01-22 06:14:00|Pending|Direct|USD|11139.60
74|192|2026-05-17 22:32:00|Completed|Direct|USD|27916.20
75|147|2025-01-11 00:19:00|Pending|Digital|USD|12928.49
76|181|2025-10-08 14:10:00|Shipped|Direct|USD|5123.19
77|135|2025-03-19 18:05:00|Completed|Direct|USD|8529.74
78|40|2025-06-12 18:38:00|Completed|Direct|USD|7970.00
79|132|2025-08-01 06:12:00|Completed|Partner|USD|12323.46
80|33|2026-08-20 01:11:00|Pending|Digital|USD|10045.13
81|84|2025-07-21 07:13:00|Completed|Partner|USD|15520.23
82|112|2026-05-17 10:00:00|Shipped|Partner|USD|5261.71
83|73|2025-08-26 07:58:00|Pending|Partner|USD|6600.00
84|29|2026-05-25 06:21:00|Completed|Digital|USD|12298.99
85|3|2025-09-13 05:20:00|Pending|Direct|USD|9480.53
86|134|2025-03-23 12:35:00|Completed|Direct|USD|7589.85
87|177|2025-07-07 22:15:00|Completed|Digital|USD|1337.96
88|191|2025-03-18 17:18:00|Pending|Direct|USD|821.25
89|26|2026-03-04 05:13:00|Completed|Partner|USD|5118.84
90|139|2026-06-18 23:22:00|Completed|Digital|USD|7386.00
91|130|2025-06-15 02:44:00|Completed|Partner|USD|5592.94
92|23|2025-01-23 05:07:00|Shipped|Digital|USD|9195.37
93|69|2026-07-19 15:49:00|Pending|Digital|USD|183.50
